date;source;dem;rep
1958-01-12;NES;71;79
1964-10-15;NES;80;73
1966-01-12;NES;71;54
1968-10-15;NES;66;60
1970-01-12;NES;52;61
1972-10-15;NES;48;62
1974-01-12;NES;36;38
1976-01-03;GALLUP;31;40
1976-05-09;CBS/NYT;38;45
1976-06-15;CBS/NYT;36;36
1976-10-15;NES;30;42
1977-04-25;CBS/NYT;37;34
1977-10-23;CBS/NYT;40;25
1978-01-12;NES;33;26
1979-03-11;CBS/NYT;32;28
1980-07-11;CBS/NYT;40;42
1980-10-15;NES;31;23
1980-12-03;CBS/NYT;30;22
1982-01-12;NES;32;41
1984-10-15;NES;41;50
1984-11-14;CBS/NYT;36;59
1985-02-22;ABC/POST;30;62
1985-03-21;ABC/POST;29;49
1985-06-11;CBS/NYT;42;59
1985-07-29;ABC/POST;30;48
1986-01-12;NES;31;53
1986-01-19;CBS/NYT;36;51
1986-09-09;ABC/POST;30;51
1986-11-30;CBS/NYT;37;63
1987-01-03;CBS/NYT;34;54
1987-01-06;ABC/POST;38;59
1987-01-19;ABC/POST;39;51
1987-01-21;CBS/NYT;36;51
1987-10-18;CBS/NYT;36;47
1988-01-23;ABC/POST;31;51
1988-10-11;CBS/NYT;36;58
1988-10-15;NES;35;51
1989-01-15;CBS/NYT;37;54
1989-06-29;CBS/NYT;27;45
1990-01-12;NES;26;32
1990-01-16;ABC/POST;32;46
1990-06-09;ABC/POST;37;48
1990-10-28;CBS/NYT;21;31
1991-01-03;ABC/POST;41;52
1991-06-03;CBS/NYT;40;56
1991-10-20;ABC/POST;31;41
1992-08-06;GALLUP;17;31
1992-10-15;NES;31;34
1992-10-23;CBS/NYT;17;31
1993-01-14;CBS/NYT;26;21
1993-01-17;ABC/POST;32;25
1993-03-24;GALLUP;32;11
1994-01-12;NES;26;18
1994-01-20;ABC/POST;30;18
1994-01-30;GALLUP;25;14
1994-06-06;GALLUP;23;11
1994-10-23;ABC/POST;27;16
1994-10-29;CBS/NYT;26;19
1995-02-22;CBS/NYT;18;19
1995-03-19;ABC/POST;27;20
1995-05-08;CBS/NYT;20;20
1995-07-08;GALLUP;24;21
1995-11-19;ABC/POST;27;26
1996-02-11;CBS/NYT;31;20
1996-06-05;ABC/POST;41;35
1996-10-15;NES;40;27
1996-12-05;GALLUP;32;20
1997-01-06;GALLUP;39;25
1997-01-14;CBS/NYT;29;20
1997-10-31;PEW;46;32
1998-01-02;GALLUP;52;26
1998-01-11;CBS/NYT;28;22
1998-01-12;NES;45;35
1998-01-25;CBS/NYT;31;22
1998-02-22;PEW;42;28
1998-10-08;ABC/POST;40;30
1998-10-26;CBS/NYT;28;25
1998-11-19;PEW;31;23
1999-02-21;PEW;35;25
1999-03-01;CBS/NYT;37;29
1999-03-10;CBS/NYT;31;27
1999-04-02;GALLUP;38;29
1999-05-16;PEW;36;30
1999-09-14;CBS/NYT;42;35
1999-10-01;CBS/NYT;42;33
1999-12-02;ABC/POST;41;21
2000-02-04;ABC/POST;38;24
2000-02-14;PEW;46;37
2000-09-07;GALLUP;42;41
2000-10-15;NES;48;43
2001-01-17;CBS/NYT;26;38
2001-06-10;GALLUP;52;68
2001-07-12;CBS/NYT;39;60
2001-10-25;CBS/NYT;47;70
2002-01-24;CBS/NYT;39;56
2002-02-09;CBS/NYT;32;52
2002-04-09;GALLUP;38;55
2002-06-17;GALLUP;33;55
2002-07-13;CBS/NYT;34;45
2002-10-15;NES;52;63
2003-07-27;CBS/NYT;25;51
2003-10-26;GALLUP;35;42
2004-03-21;PEW;24;55
2004-10-15;NES;35;61
2005-02-12;CBS/NYT;19;52
2005-06-19;GALLUP;24;36
2005-09-09;CBS/NYT;21;42
2005-11-09;PEW;19;49
2006-01-20;CBS/NYT;23;51
2006-05-02;PEW;20;53
2006-06-01;GALLUP;20;44
2006-08-10;CBS/NYT;20;50
2006-09-15;CBS/NYT;20;44
2007-09-01;PEW;22;43
2007-09-07;CBS/NYT;18;31
2008-10-13;CBS/NYT;12;19
2008-10-15;NES;34;31
2008-12-21;CNN;30;22
2009-08-31;CBS/NYT;34;12
2009-12-06;CBS/NYT;35;10
2009-12-20;CNN;25;16
2010-01-09;CNN;31;18
2010-01-10;CBS/NYT;27;13
2010-03-21;PEW;32;13
2010-05-02;CBS/NYT;31;9
2010-05-04;CBS/NYT;27;14
2010-06-09;PEW;35;13
2010-10-01;GALLUP;23;16
2010-10-21;CBS/NYT;36;7
2010-12-02;CNN;34;18
2011-01-03;PEW;34;24
2011-04-10;PEW;27;12
2011-08-21;PEW;25;13
2011-09-23;CNN;20;11
2011-10-19;CBS/NYT;13;8
2012-10-31;NES;29;16
2013-01-13;PEW;37;15
2013-05-31;CBS/NYT;30;8
2013-06-02;CBS/NYT;34;8
2013-10-13;PEW;27;10
2013-11-15;CBS/NYT;31;8
2014-02-26;PEW;32;16
2014-07-20;CNN;17;11
2015-04-10;PEW;26;11
2017-04-12;PEW;15;22
2017-11-04;PEW;15;28
2019-03-25;PEW;14;21
2020-02-08;PEW;12;28
2020-12-04;PEW;18;36
2021-11-04;PEW;36;9
